Configuration	stm
STM32CubeMX 	4.24.0
Date	03/05/2020
MCU	STM32F103CBTx



PERIPHERALS	MODES	FUNCTIONS	PINS
ADC1	IN0	ADC1_IN0	PA0-WKUP
ADC1	IN1	ADC1_IN1	PA1
ADC1	IN4	ADC1_IN4	PA4
I2C1	I2C	I2C1_SCL	PB6
I2C1	I2C	I2C1_SDA	PB7
I2C2	I2C	I2C2_SCL	PB10
I2C2	I2C	I2C2_SDA	PB11
RCC	Crystal/Ceramic Resonator	RCC_OSC_IN	PD0-OSC_IN
RCC	Crystal/Ceramic Resonator	RCC_OSC_OUT	PD1-OSC_OUT
SPI1	Full-Duplex Master	SPI1_MISO	PA6
SPI1	Full-Duplex Master	SPI1_MOSI	PA7
SPI1	Full-Duplex Master	SPI1_SCK	PA5
SYS	Serial Wire	SYS_JTCK-SWCLK	PA14
SYS	Serial Wire	SYS_JTMS-SWDIO	PA13
SYS	SysTick	SYS_VS_Systick	VP_SYS_VS_Systick
TIM3	PWM Generation CH3	TIM3_CH3	PB0
USART1	Asynchronous	USART1_RX	PA10
USART1	Asynchronous	USART1_TX	PA9
USART2	Asynchronous	USART2_RX	PA3
USART2	Asynchronous	USART2_TX	PA2
USB	Device (FS)	USB_DM	PA11
USB	Device (FS)	USB_DP	PA12



Pin Nb	PINs	FUNCTIONs	LABELs
2	PC13-TAMPER-RTC	GPIO_Output	LED
3	PC14-OSC32_IN	GPIO_Output	CSN
4	PC15-OSC32_OUT	GPIO_Output	CE
5	PD0-OSC_IN	RCC_OSC_IN	
6	PD1-OSC_OUT	RCC_OSC_OUT	
10	PA0-WKUP	ADC1_IN0	HORISONTAL
11	PA1	ADC1_IN1	VERTICAL
12	PA2	USART2_TX	BT_TX
13	PA3	USART2_RX	BT_RX
14	PA4	ADC1_IN4	BAT
15	PA5	SPI1_SCK	
16	PA6	SPI1_MISO	
17	PA7	SPI1_MOSI	
18	PB0	TIM3_CH3	BUZZ
19	PB1	GPIO_Input	LEFT_BT
20	PB2	GPIO_Input	RIGHT_BT
21	PB10	I2C2_SCL	SCL_IMU
22	PB11	I2C2_SDA	SDA_IMU
25	PB12	GPIO_Input	SELECT
26	PB13	GPIO_Input	UP
27	PB14	GPIO_Input	RIGHT
28	PB15	GPIO_Input	DOWN
29	PA8	GPIO_Input	LEFT
30	PA9	USART1_TX	
31	PA10	USART1_RX	
32	PA11	USB_DM	
33	PA12	USB_DP	
34	PA13	SYS_JTMS-SWDIO	
37	PA14	SYS_JTCK-SWCLK	
38	PA15	GPIO_Input	BUTTON_E
39	PB3	GPIO_Input	BUTTON_F
40	PB4	GPIO_Input	VIN
41	PB5	GPIO_Output	ON
42	PB6	I2C1_SCL	SCL
43	PB7	I2C1_SDA	SDA
45	PB8	GPIO_Input	POW_BT
46	PB9	GPIO_Output	MOS
